Date,Close,Volume,Open,High,Low,SMA_50,SMA_200,RSI,ATR
2023-11-29,91.42,7805946,92.9,93.5925,91.13,103.9096,127.94325,-198.05128118545696,12.840000000000003
2023-11-28,91.58,6739237,91.05,92.395,90.72,103.3488,127.63024999999999,-129.8168587136642,12.150000000000006
2023-11-27,91.33,6130178,91.41,91.96,91.1,102.82119999999999,127.31925000000001,-101.66494217838854,12.150000000000006
2023-11-24,91.85,2941195,91.7,91.96,91.52,102.30680000000001,127.02175,-97.47256637188855,10.349999999999994
2023-11-22,91.76,8070151,91.71,92.57,91.08,101.84720000000002,126.74220000000001,-82.53329323327767,6.260000000000005
2023-11-21,90.74,12770960,90.72,91.04,90.0,101.3856,126.47904999999999,-68.59944865132422,5.560000000000002
2023-11-20,91.4,10092830,89.21,91.95,89.21,100.9114,126.22815,-37.42790578694681,5.490000000000009
2023-11-17,89.53,10781010,89.05,89.76,88.51,100.46979999999999,125.99015,-44.34755201814903,5.799999999999997
2023-11-16,89.05,8829553,88.51,89.29,87.855,100.0996,125.71340000000001,-37.60344498940947,6.454999999999998
2023-11-15,88.84,8035400,89.08,89.84,88.325,99.6136,125.43019999999999,-21.133984360836152,6.454999999999998
2023-11-14,88.29,10930700,86.97,89.055,86.8002,99.1118,125.13865,-50.83234814260217,7.5097999999999985
2023-11-13,83.41,10214820,82.93,84.128,82.47,98.5616,124.7748,-75.91859575907546,11.840000000000003
2023-11-10,83.71,11471220,81.15,83.91,80.32,98.00939999999999,124.43254999999999,-104.37254057893315,13.272500000000008
2023-11-09,80.02,13341470,82.63,82.64,79.78,97.4188,124.07185,-119.91569942992811,13.8125
2023-11-08,82.0,9689047,82.18,82.49,80.68,96.874,123.7075,-57.48225138602345,12.789999999999992
2023-11-07,81.87,8066257,81.17,82.23,80.52,96.34440000000001,123.34539999999998,-60.85325616139204,12.789999999999992
2023-11-06,81.2,11053480,81.08,81.46,80.09,95.8152,122.97449999999999,-66.18743558860945,12.789999999999992
2023-11-03,80.67,13149830,79.83,81.55,79.76,95.3506,122.62405000000001,-81.54113685856703,12.809999999999988
2023-11-02,78.57,10973960,76.4,78.65,76.36,94.8956,122.24435,-112.39442119279201,15.590000000000003
2023-11-01,74.34,14963530,72.54,74.78,72.26,94.32119999999999,121.85115,-144.6797231108196,19.689999999999998
2023-10-31,72.04,14616400,71.02,72.22,70.03,93.67699999999999,121.44240000000002,-258.2218404341275,19.810000000000002
2023-10-30,70.78,13486520,69.74,71.29,69.07,93.01100000000001,121.04889999999999,-247.7005278267261,20.77000000000001
2023-10-27,68.33,16908820,70.1,70.3,67.6,92.2904,120.6472,-386.93478775357755,22.24000000000001
2023-10-26,69.37,13897800,71.35,71.7801,68.82,91.6266,120.28650000000002,-232.68647274428685,21.455000000000013
2023-10-25,71.97,14034250,74.31,74.31,71.6899,91.00399999999999,119.9457,-97.45861160849961,16.528000000000006
2023-10-24,75.25,13914360,74.69,75.85,73.71,90.53039999999999,119.65394999999998,-29.7947643318725,16.310000000000002
2023-10-23,73.58,17597870,73.12,75.69,72.1806,90.02940000000001,119.35510000000001,-40.8165289334284,15.040000000000006
2023-10-20,74.02,16557460,76.63,76.901,73.93,89.51719999999999,119.0661,-22.079923420709036,14.89
2023-10-19,76.91,14782270,79.36,80.4007,76.51,89.01299999999999,118.83345000000001,-16.075586103299244,14.63000000000001
2023-10-18,79.07,14273480,81.31,81.87,78.42,88.51460000000002,118.59905,-6.965781125732562,14.27000000000001
2023-10-17,82.37,14245710,80.56,83.5601,80.35,88.06200000000001,118.3972,4.4161746095429635,15.960100000000011
2023-10-16,82.43,11148690,81.18,83.025,81.03,87.61059999999999,118.13680000000001,5.833729510319159,15.960100000000011
2023-10-13,79.92,13124340,82.03,82.7,79.0,87.12180000000001,117.82375,4.938082844813479,15.960100000000011
2023-10-12,81.24,11726280,83.05,83.27,79.8,86.6838,117.48639999999999,18.645704618740993,15.960100000000011
2023-10-11,82.8,8294037,82.4,82.92,80.98,86.2896,117.19004999999999,27.292505275741703,15.960100000000011
2023-10-10,81.79,9483911,80.91,83.28,80.65,85.9246,116.87754999999999,28.289478690697067,15.960100000000011
2023-10-09,80.52,9563564,77.94,80.89,77.64,85.4444,116.55995000000001,32.472642520658496,14.740100000000012
