Date,Close,Volume,Open,High,Low
06/21/2018,46.05,3232565,46.93,46.93,45.76
06/20/2018,46.96,2756171,47.06,47.30,46.7352
06/19/2018,46.69,3385263,45.94,46.82,45.69
06/18/2018,47.23,2478812,46.70,47.32,46.4167
06/15/2018,47.56,2350591,47.33,47.74,46.64
06/14/2018,47.75,2198752,47.91,48.06,47.42
06/13/2018,47.38,2609726,48.03,48.1593,47.305
06/12/2018,47.93,2288084,47.94,48.08,47.50
06/11/2018,47.70,2030231,47.62,48.11,47.56
06/08/2018,47.49,2114786,46.83,47.53,46.73
06/07/2018,47.09,2733314,47.43,47.5799,46.581
06/06/2018,47.17,3225023,46.33,47.17,45.97
06/05/2018,46.01,2532528,45.94,46.19,45.52
06/04/2018,45.91,2681089,45.71,46.03,45.58
06/01/2018,45.27,4379606,44.72,45.41,44.65
05/31/2018,43.90,4004713,44.60,44.76,43.65
05/30/2018,44.82,3837899,43.818,45.04,43.76
05/29/2018,43.15,5508584,43.76,44.18,42.4899
05/25/2018,44.65,1968662,44.68,45.009,44.37
05/24/2018,45.02,3192068,45.06,45.20,44.00
05/23/2018,45.28,2999560,44.19,45.309,44.10
05/22/2018,44.90,2402723,45.60,45.739,44.725
05/21/2018,45.28,3486532,45.12,45.60,44.93
05/18/2018,44.31,1704718,44.45,44.63,44.10
05/17/2018,44.65,4140854,44.63,45.25,44.21
05/16/2018,44.79,5261356,44.23,45.02,44.23
05/15/2018,44.21,6673365,44.47,44.48,43.74
05/14/2018,45.11,2524871,45.35,45.71,44.87
05/11/2018,44.97,2724388,44.75,45.26,44.48
05/10/2018,44.72,4687304,43.91,44.89,43.841
05/09/2018,43.47,4002290,42.65,43.66,42.35
05/08/2018,42.26,3457842,42.10,42.4755,41.4601
05/07/2018,42.25,4228147,42.29,42.80,41.91
05/04/2018,41.85,5860974,39.80,42.2112,39.64
05/03/2018,40.30,9802037,40.11,40.66,38.70
05/02/2018,40.56,5272547,41.34,41.77,40.39
05/01/2018,41.44,5143569,40.99,41.50,40.13
04/30/2018,41.22,5215085,42.52,42.849,41.21
04/27/2018,42.20,4740236,42.42,42.60,41.7201
04/26/2018,42.10,5498092,41.44,42.54,41.1998
04/25/2018,40.87,4821734,40.59,41.1399,39.61
